epoch,loss,val_loss
0,546.0592197597963,531.0100708007812
1,515.5492539330927,495.6229248046875
2,499.1618681103771,493.34002685546875
3,492.57954494616126,491.89471435546875
4,491.3738227564627,487.3202819824219
5,489.9901158198012,486.1923828125
6,488.7850482401423,486.1465148925781
7,486.15916962149254,483.4261474609375
8,485.4690396773253,481.1387634277344
